NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,config_id,Resampling,CBR,VBRRange
False,False,False,False,False,False,True,False,False,False,False,False,True,172,48,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,173,48,160,0
False,False,False,True,False,False,False,False,False,False,True,False,False,174,48,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,175,48,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,176,48,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,177,48,320,0
False,True,False,False,False,False,False,False,False,False,True,False,False,178,48,8,2
False,False,False,False,False,False,False,True,False,False,False,False,True,179,48,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,180,48,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,181,48,320,0
False,False,False,False,False,False,False,False,False,False,True,False,True,182,48,320,0
False,True,False,False,True,False,False,False,False,True,False,False,False,183,48,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,184,48,160,0
False,False,False,False,False,False,False,False,True,False,False,False,True,185,48,320,0
False,False,False,False,False,False,False,True,False,False,False,False,True,186,48,320,0
False,False,False,True,True,False,False,False,False,False,False,False,False,187,48,8,2
False,True,False,False,False,False,False,False,False,False,True,False,False,188,48,8,2
False,False,False,True,False,False,True,False,False,False,False,False,False,189,48,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,190,48,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,191,48,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,192,48,320,0
False,True,False,False,False,True,False,False,False,False,True,False,False,193,48,320,0
False,True,False,False,False,False,True,False,False,False,False,False,False,194,48,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,195,48,320,0
False,False,False,True,True,False,False,False,False,False,False,False,False,196,48,8,0
False,True,True,False,False,False,True,False,False,False,False,False,False,197,48,320,0
False,True,False,False,False,False,True,False,False,False,False,False,False,198,48,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,199,48,8,2
False,False,False,False,False,False,False,False,False,False,True,False,True,200,48,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,201,48,8,0
True,False,False,False,False,False,True,False,False,False,False,False,True,202,48,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,203,44,320,0
False,False,False,True,False,False,False,False,False,False,True,False,False,204,44,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,205,44,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,206,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,207,44,8,0
False,False,False,False,True,False,False,False,False,False,False,True,True,208,44,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,209,44,320,0
False,True,False,False,False,False,False,False,False,False,True,False,False,210,44,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,211,44,320,0
False,False,False,True,True,False,False,False,False,False,False,False,False,212,44,160,0
False,True,False,False,False,False,True,False,False,False,False,False,False,213,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,214,44,320,0
False,True,False,False,False,False,False,False,False,False,True,False,False,215,44,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,216,44,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,217,44,160,0
False,False,False,True,False,False,False,False,False,False,True,False,False,218,44,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,219,44,320,0
False,False,False,True,False,False,False,False,True,False,False,False,False,220,44,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,221,44,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,222,44,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,223,44,8,0
False,False,False,False,False,False,True,False,False,True,False,False,True,224,44,160,0
False,False,False,True,False,False,False,False,True,False,False,False,False,225,44,160,0
False,True,False,False,False,False,False,False,True,False,False,False,False,226,44,8,0
False,False,False,False,False,False,False,True,False,False,False,False,True,227,44,8,1
False,True,False,False,False,False,False,False,False,False,True,False,False,228,44,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,229,44,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,230,44,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,231,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,232,44,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,233,44,320,0
False,False,False,False,False,True,False,False,False,False,True,False,True,234,44,320,0
False,True,False,False,False,False,True,False,False,False,False,False,False,235,44,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,236,44,160,0
False,False,False,True,False,False,False,True,False,False,False,False,False,237,44,8,0
False,False,True,False,False,False,False,False,False,False,True,False,True,238,44,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,239,44,8,0
False,True,False,False,False,False,False,False,True,False,False,False,False,240,44,8,2
False,False,False,False,False,False,True,False,False,False,False,False,True,241,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,242,44,8,1
True,False,False,False,False,False,False,True,False,False,False,False,True,243,44,160,0
False,False,False,False,True,False,False,False,False,False,False,False,True,244,8,8,2
False,True,False,False,False,False,False,False,False,False,True,False,False,245,44,8,1
False,False,False,False,False,False,False,True,False,False,False,False,True,246,8,8,0
False,False,False,False,True,False,False,False,False,False,False,True,True,247,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,248,8,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,249,44,320,0
False,True,False,False,True,False,False,False,False,False,False,False,False,250,22,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,251,48,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,252,8,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,253,22,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,254,22,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,255,8,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,256,22,160,0
False,True,False,False,False,False,False,False,False,False,True,False,False,257,22,320,0
False,False,False,False,False,False,True,False,False,False,False,False,True,258,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,259,22,8,0
False,True,False,False,False,False,False,True,False,False,False,False,False,260,8,8,2
False,True,False,False,False,False,False,False,True,False,False,False,False,261,8,8,2
False,False,False,False,False,False,False,False,True,True,False,False,True,262,22,160,0
False,False,False,False,True,False,False,False,False,False,False,False,True,263,22,160,0
False,False,False,False,False,False,False,True,False,False,False,False,True,264,22,160,0
False,False,False,False,False,False,False,False,True,False,False,False,True,265,48,8,2
False,False,False,False,False,False,False,True,False,False,False,False,True,266,44,320,0
False,False,False,False,False,False,False,False,False,False,True,False,True,267,22,8,2
False,True,False,False,False,False,False,False,False,False,True,False,False,268,48,8,1
False,True,False,False,False,False,True,False,False,False,False,False,False,269,8,320,0
False,True,False,False,False,False,False,True,False,False,False,False,False,270,22,320,0
False,False,False,True,False,False,False,False,True,False,False,False,False,271,48,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,272,8,160,0
False,True,False,False,False,False,False,False,False,False,True,False,False,273,44,8,0
False,True,False,False,False,True,False,False,False,False,True,False,False,274,8,320,0
False,False,False,False,False,False,False,True,False,False,False,False,True,275,8,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,276,48,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,277,22,160,0
False,True,True,False,True,False,False,False,False,False,False,False,False,278,48,8,2
False,False,False,False,False,False,False,False,False,False,True,False,True,279,48,8,0
False,False,False,True,False,False,False,False,True,False,False,False,False,280,22,8,2
False,True,False,False,False,False,True,False,False,False,False,False,False,281,8,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,282,8,8,0
True,True,False,False,True,False,False,False,False,False,False,False,False,283,22,320,0
False,False,False,False,False,False,False,False,True,False,False,False,True,284,22,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,285,22,8,1
False,False,False,True,False,False,True,False,False,False,False,False,False,286,8,320,0
False,False,False,False,True,False,False,False,False,False,False,True,True,287,8,160,0
False,False,False,True,False,False,False,True,False,False,False,False,False,288,22,8,1
False,False,False,True,False,False,True,False,False,False,False,False,False,289,22,160,0
False,False,False,False,True,False,False,False,False,False,False,False,True,290,48,320,0
False,False,False,True,True,False,False,False,False,False,False,False,False,291,8,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,292,22,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,293,22,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,294,44,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,295,44,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,296,48,8,0
False,True,False,False,False,False,False,False,True,False,False,False,False,297,8,160,0
False,False,False,True,True,False,False,False,False,False,False,False,False,298,22,160,0
False,False,False,True,False,False,False,False,False,False,True,False,False,299,48,8,1
False,False,False,True,False,False,False,False,False,False,True,False,False,300,22,160,0
False,False,False,True,False,False,False,False,False,False,True,False,False,301,8,160,0
False,False,False,False,False,False,False,False,False,False,True,False,True,302,8,8,1
False,True,False,False,False,False,False,False,False,True,True,False,False,303,44,320,0
False,True,False,False,False,False,False,False,True,False,False,False,False,304,22,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,305,22,160,0
False,False,False,True,False,False,False,False,True,False,False,False,False,306,44,8,0
False,True,False,False,False,False,False,True,False,False,False,False,False,307,44,8,0
False,False,False,True,True,False,False,False,False,False,False,False,False,308,48,8,1
False,True,False,False,False,False,False,False,False,False,True,False,False,309,8,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,310,8,160,0
False,True,False,False,True,False,False,False,False,False,False,False,False,311,48,8,2
False,False,False,False,True,False,False,False,False,False,False,False,True,312,8,8,2
False,False,False,False,False,False,False,True,False,False,False,False,True,313,8,8,2
False,True,False,False,False,False,False,False,False,False,True,False,False,314,44,8,0
False,False,False,False,False,True,False,False,False,False,True,False,True,315,22,320,0
False,False,False,False,False,False,False,False,False,False,True,False,True,316,8,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,317,48,8,1
False,False,False,True,False,False,False,False,False,False,True,False,False,318,22,160,0
False,False,True,False,False,False,True,False,False,False,False,False,True,319,44,8,0
False,True,False,False,False,False,False,False,True,False,False,False,False,320,8,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,321,48,8,2
False,False,False,False,False,False,True,False,False,False,False,False,True,322,44,8,0
False,True,False,False,True,False,False,False,False,False,False,False,False,323,8,8,0
True,True,False,False,True,False,False,False,False,False,False,False,False,324,8,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,325,8,8,1
False,False,False,False,False,False,False,False,False,False,True,False,True,326,22,8,1
False,True,False,False,False,False,False,False,False,False,True,True,False,327,44,8,1
False,False,False,False,False,False,False,False,False,False,True,False,True,328,8,8,1
False,False,False,False,False,False,False,False,True,False,False,False,True,329,22,8,1
False,False,False,False,False,False,False,False,False,False,True,False,True,330,44,8,1
False,False,False,False,False,False,False,False,False,False,True,False,True,331,22,8,1
False,False,False,False,False,False,False,True,False,False,False,False,True,332,22,8,1
False,False,False,True,True,False,False,False,False,False,False,False,False,333,48,8,1
False,False,False,True,True,False,False,False,False,False,False,False,False,334,22,8,1
False,True,False,False,False,False,False,True,False,False,False,False,False,335,48,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,336,44,8,1
False,True,False,False,True,False,False,False,False,False,False,False,False,337,22,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,338,22,8,1
False,False,False,True,False,False,False,True,False,True,False,False,False,339,48,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,340,22,8,1
False,False,False,False,False,False,False,False,True,False,False,False,True,341,48,8,1
False,True,False,False,False,False,False,True,False,False,False,False,False,342,8,8,1
False,False,False,False,True,False,False,False,False,False,False,False,True,343,48,8,1
False,True,False,False,False,False,True,False,False,False,False,False,False,344,8,8,1
False,False,False,False,False,False,True,False,False,False,False,False,True,345,48,8,1
False,False,False,True,False,False,True,False,False,False,False,False,False,346,48,8,1
False,False,False,True,False,False,False,True,False,False,False,False,False,347,22,8,1
False,False,False,False,False,False,False,False,True,False,False,False,True,348,8,8,1
False,False,False,True,False,False,False,False,True,False,False,False,False,349,8,8,1
False,False,False,True,True,False,False,False,False,False,False,False,False,350,48,8,1
False,False,False,True,False,False,False,False,False,False,True,False,False,351,22,8,1
False,False,True,True,False,False,False,False,False,False,True,False,False,352,22,8,1
False,True,False,False,True,False,False,False,False,False,False,False,False,353,8,8,1
True,False,False,True,False,False,False,False,False,False,True,False,False,354,44,8,1
False,False,False,False,False,False,False,False,True,False,False,False,True,355,48,160,0
False,False,False,False,False,False,False,False,False,False,True,True,True,356,8,160,0
False,False,False,False,False,False,True,False,False,False,False,False,True,357,8,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,358,48,8,1
False,False,False,False,False,False,False,False,True,False,False,False,True,359,44,320,0
False,False,False,False,False,False,False,False,False,False,True,False,True,360,8,320,0
False,False,False,False,True,False,False,False,False,False,False,False,True,361,44,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,362,48,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,363,44,160,0
False,False,False,False,True,False,False,False,False,False,False,False,True,364,8,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,365,8,8,0
False,False,False,False,False,False,False,False,True,False,False,False,True,366,8,160,0
False,False,False,False,False,False,False,False,False,False,True,False,True,367,44,160,0
False,False,False,False,True,False,False,False,False,False,False,False,True,368,44,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,369,22,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,370,22,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,371,8,8,0
False,False,False,False,True,False,False,False,False,True,False,False,True,372,48,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,373,22,8,0
False,False,False,False,False,False,False,True,False,False,False,False,True,374,22,160,0
False,False,False,False,False,False,False,False,True,False,False,False,True,375,48,8,0
False,False,False,False,False,False,False,True,False,False,False,False,True,376,48,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,377,44,8,2
False,False,False,False,False,False,False,False,True,False,False,False,True,378,22,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,379,48,320,0
False,False,False,False,False,False,True,False,False,False,False,False,True,380,22,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,381,48,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,382,8,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,383,48,8,2
False,False,False,False,True,True,False,False,False,False,False,False,True,384,8,160,0
False,False,False,False,False,False,False,False,False,False,True,False,True,385,48,8,0
False,False,False,False,True,False,False,False,False,False,False,False,True,386,44,8,0
False,False,True,False,True,False,False,False,False,False,False,False,True,387,8,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,388,22,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,389,44,8,2
False,False,False,False,True,False,False,False,False,False,False,False,True,390,8,8,0
True,False,False,False,False,False,False,False,False,False,True,False,True,391,8,8,0
False,False,False,True,True,False,False,False,False,False,False,True,False,392,48,320,0
False,True,False,False,False,False,True,False,False,False,False,False,False,393,22,8,1
False,False,False,True,False,False,False,False,False,False,True,False,False,394,44,320,0
False,False,False,True,True,False,False,False,False,False,False,False,False,395,8,160,0
False,False,False,False,False,False,False,False,False,False,True,False,True,396,22,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,397,48,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,398,22,8,0
False,False,False,True,False,False,False,False,False,False,True,False,False,399,44,8,0
False,True,False,False,False,False,False,False,False,False,True,False,False,400,48,8,0
False,False,False,False,False,False,False,False,False,False,True,False,True,401,44,320,0
False,False,False,False,False,False,True,False,False,False,False,False,True,402,22,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,403,44,320,0
False,False,False,True,False,False,False,False,False,False,True,False,False,404,8,8,0
False,False,False,True,False,False,False,False,True,False,False,False,False,405,48,8,0
False,False,False,False,False,False,True,False,False,False,False,False,True,406,44,160,0
False,True,False,False,False,False,True,False,False,True,False,False,False,407,8,160,0
False,False,False,True,True,False,False,False,False,False,False,False,False,408,22,8,0
False,False,False,True,False,False,True,False,False,False,False,False,False,409,48,160,0
False,False,False,False,False,False,False,False,True,False,False,False,True,410,44,160,0
