iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,config_id,threads
False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,103,90
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,104,10
False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,105,90
False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,106,90
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,107,10
False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,108,90
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,109,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,110,90
False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,111,90
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,112,90
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,113,90
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,114,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,115,10
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,116,10
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,117,10
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,118,90
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,119,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,120,10
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,121,90
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,122,90
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,123,10
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,124,90
False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,125,10
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,126,10
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,127,90
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,128,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,129,10
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,130,10
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,131,90
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,132,90
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,133,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,134,90
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,135,10
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,136,10
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,137,90
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,138,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,139,10
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,140,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,141,90
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,142,10
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,143,10
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,144,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,145,10
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,146,10
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,147,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,148,90
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,149,10
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,150,90
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,151,10
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,152,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,153,10
False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,154,10
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,155,10
False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,156,90
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,157,10
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,158,10
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,159,90
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,160,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,161,90
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,162,10
False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,163,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,164,10
False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,165,10
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,166,90
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,167,90
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,168,90
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,169,90
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,170,10
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,171,90
False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,172,10
False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,173,10
False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,174,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,175,10
False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,176,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,177,10
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,178,90
False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,179,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,180,10
False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,181,10
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,182,90
False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,183,90
False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,184,90
True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,185,90
False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,186,10
False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,187,90
False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,188,90
False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,189,10
False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,190,90
False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,191,90
False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,192,90
False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,193,10
False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,194,90
False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,195,90
False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,196,10
False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,197,90
False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,198,10
False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,199,90
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,200,10
False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,201,90
False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,202,10
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,203,10
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,204,10
False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,205,90
False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,206,10
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,207,10
False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,208,90
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,209,90
False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,210,10
False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,211,90
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,212,90
False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,213,90
True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,214,90
False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,215,10
False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,216,90
False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,217,10
False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,218,10
False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,219,90
False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,220,10
False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,221,10
False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,222,10
False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,223,90
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,224,10
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,225,90
False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,226,90
False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,227,90
False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,228,10
True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,229,90
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,230,90
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,231,10
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,232,10
False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,233,10
False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,234,10
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,235,10
False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,236,10
False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,237,90
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,238,10
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,239,90
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,240,90
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,241,10
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,242,10
False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,243,10
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,244,10
False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,245,90
False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,246,10
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,247,90
False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,248,90
False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,249,90
False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,250,10
True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,251,10
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,252,90
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,253,90
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,254,10
False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,255,10
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,256,10
False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,257,10
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,258,90
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,259,90
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,260,90
True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,261,10
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,262,90
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,263,90
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,264,90
False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,265,10
False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,266,10
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,267,90
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,268,10
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,269,90
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,270,10
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,271,10
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,272,90
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,273,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,274,10
False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,275,90
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,276,90
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,277,10
True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,278,90
False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,279,10
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,280,10
False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,281,90
False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,282,10
False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,283,10
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,284,90
True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,285,90
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,286,10
False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,287,10
False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,288,10
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,289,10
False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,290,90
False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,291,90
False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,292,90
True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,293,10
False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,294,10
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,295,10
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,296,10
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,297,10
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,298,10
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,299,10
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,300,90
False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,301,10
False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,302,90
False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,303,10
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,304,90
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,305,90
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,306,10
True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,307,10
False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,308,10
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,309,90
False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,310,90
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,311,90
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,312,90
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,313,90
True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,314,90
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,315,10
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,316,10
False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,317,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,318,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,319,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,320,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,321,90
False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,322,90
False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,323,10
False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,False,True,324,90
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,325,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,326,10
False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,False,False,327,10
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,328,90
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,329,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,330,10
False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,False,False,331,90
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,332,90
False,False,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,333,10
False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,False,False,334,90
True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,335,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,336,10
False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,False,True,337,10
False,False,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False,338,10
False,True,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,339,90
False,False,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,340,90
False,False,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,341,10
False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,False,True,342,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,343,90
False,False,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,344,90
True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,345,90
False,False,False,True,False,True,True,False,True,True,False,True,False,True,False,False,False,346,90
False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,347,10
False,True,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,348,10
False,False,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,349,10
False,True,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,350,90
True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,False,351,10
False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,False,True,352,10
False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,False,353,10
False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,False,False,354,10
False,False,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False,355,90
False,False,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False,356,10
False,False,False,True,False,True,True,False,True,True,False,True,False,True,False,False,False,357,10
True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,358,10
True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,359,90
False,True,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,360,10
False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,False,361,90
False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,False,True,362,90
